jd_id,candidate_id,category,match_score,interest_score,final_score,matched_skills,explanation
4,10816645,fitness,6,8,7,"fitness, exercise, for, design, knowledge","Skills match: fitness, exercise, for, design, knowledge. Semantic similarity used for matching. Interest inferred from resume tone."
4,38650096,fitness,6,8,7,"fitness, for, progress, nutrition, and","Skills match: fitness, for, progress, nutrition, and. Semantic similarity used for matching. Interest inferred from resume tone."
4,55746506,fitness,6,8,7,"looking, fitness, for, monitor, knowledge","Skills match: looking, fitness, for, monitor, knowledge. Semantic similarity used for matching. Interest inferred from resume tone."
5,25315791,sales,6,8,7,"experience, for, sales, responsible, have","Skills match: experience, for, sales, responsible, have. Semantic similarity used for matching. Interest inferred from resume tone."
5,87118391,sales,4,7,6,"experience, for, sales, responsible, client","Skills match: experience, for, sales, responsible, client. Semantic similarity used for matching. Interest inferred from resume tone."
5,33578873,sales,4,8,6,"experience, for, sales, client, and","Skills match: experience, for, sales, client, and. Semantic similarity used for matching. Interest inferred from resume tone."
5,27607632,sales,5,7,6,"hiring, experience, for, sales, responsible","Skills match: hiring, experience, for, sales, responsible. Semantic similarity used for matching. Interest inferred from resume tone."
5,23760084,sales,5,6,6,"hiring, experience, for, sales, and","Skills match: hiring, experience, for, sales, and. Semantic similarity used for matching. Interest inferred from resume tone."
6,93988900,healthcare,6,8,7,"experience, for, records, professional, with","Skills match: experience, for, records, professional, with. Semantic similarity used for matching. Interest inferred from resume tone."
6,25328428,healthcare,6,8,7,"looking, experience, for, professional, with","Skills match: looking, experience, for, professional, with. Semantic similarity used for matching. Interest inferred from resume tone."
6,18714571,healthcare,6,8,7,"looking, experience, for, professional, knowledge","Skills match: looking, experience, for, professional, knowledge. Semantic similarity used for matching. Interest inferred from resume tone."
6,43994605,healthcare,6,8,7,"experience, for, professional, terminology, with","Skills match: experience, for, professional, terminology, with. Semantic similarity used for matching. Interest inferred from resume tone."
6,17545780,healthcare,6,8,7,"for, records, professional, with, required","Skills match: for, records, professional, with, required. Semantic similarity used for matching. Interest inferred from resume tone."
7,69181350,consultant,6,8,7,"and, business, consultant, analytical, strategic","Skills match: and, business, consultant, analytical, strategic. Semantic similarity used for matching. Interest inferred from resume tone."
7,29196643,consultant,6,8,7,"implement, problem, seeking, and, business","Skills match: implement, problem, seeking, and, business. Semantic similarity used for matching. Interest inferred from resume tone."
7,11415967,consultant,6,8,7,"problem, performance, solving, and, business","Skills match: problem, performance, solving, and, business. Semantic similarity used for matching. Interest inferred from resume tone."
7,22571461,consultant,6,8,7,"performance, solutions, and, business, consultant","Skills match: performance, solutions, and, business, consultant. Semantic similarity used for matching. Interest inferred from resume tone."
7,10984392,consultant,7,7,7,"implement, problem, performance, solving, solutions","Skills match: implement, problem, performance, solving, solutions. Semantic similarity used for matching. Interest inferred from resume tone."
8,29149998,hr,7,8,8,"relations, experience, for, employee, with","Skills match: relations, experience, for, employee, with. Semantic similarity used for matching. Interest inferred from resume tone."
8,18827609,hr,7,8,8,"relations, experience, for, employee, with","Skills match: relations, experience, for, employee, with. Semantic similarity used for matching. Interest inferred from resume tone."
8,16877897,hr,7,8,8,"experience, looking, for, performance, employee","Skills match: experience, looking, for, performance, employee. Semantic similarity used for matching. Interest inferred from resume tone."
8,23155093,hr,7,7,7,"experience, for, performance, employee, with","Skills match: experience, for, performance, employee, with. Semantic similarity used for matching. Interest inferred from resume tone."
8,11763983,hr,6,8,7,"relations, experience, for, performance, employee","Skills match: relations, experience, for, performance, employee. Semantic similarity used for matching. Interest inferred from resume tone."
9,29147100,designer,6,8,7,"for, digital, photoshop, illustrator, design","Skills match: for, digital, photoshop, illustrator, design. Semantic similarity used for matching. Interest inferred from resume tone."
9,25061645,designer,6,8,7,"for, digital, visual, illustrator, design","Skills match: for, digital, visual, illustrator, design. Semantic similarity used for matching. Interest inferred from resume tone."
9,22506245,designer,6,8,7,"for, digital, illustrator, design, with","Skills match: for, digital, illustrator, design, with. Semantic similarity used for matching. Interest inferred from resume tone."
9,18198627,designer,6,8,7,"hiring, for, digital, expertise, illustrator","Skills match: hiring, for, digital, expertise, illustrator. Semantic similarity used for matching. Interest inferred from resume tone."
9,13014900,designer,6,8,7,"for, content, visual, illustrator, design","Skills match: for, content, visual, illustrator, design. Semantic similarity used for matching. Interest inferred from resume tone."
10,12467531,teacher,6,8,7,"student, classroom, performance, knowledge, prepare","Skills match: student, classroom, performance, knowledge, prepare. Semantic similarity used for matching. Interest inferred from resume tone."
10,29797594,teacher,6,8,7,"student, lesson, classroom, prepare, plans","Skills match: student, lesson, classroom, prepare, plans. Semantic similarity used for matching. Interest inferred from resume tone."
10,63391085,teacher,6,8,7,"student, lesson, classroom, required, plans","Skills match: student, lesson, classroom, required, plans. Semantic similarity used for matching. Interest inferred from resume tone."
10,22510753,teacher,6,8,7,"knowledge, required, prepare, and, conduct","Skills match: knowledge, required, prepare, and, conduct. Semantic similarity used for matching. Interest inferred from resume tone."
10,19556300,teacher,6,8,7,"student, lesson, classroom, performance, required","Skills match: student, lesson, classroom, performance, required. Semantic similarity used for matching. Interest inferred from resume tone."
